id,name,type
0,the walled waters,Ocean
1,the hills of glistening,Hills
2,the prairie of shadows,Grassland
3,the swamps of age,Wetland
4,the hill of birds,Hills
5,the regal fields,Grassland
6,the willful fields,Grassland
7,the humble murk,Wetland
8,the dimpled hills,Hills
9,the swamp of citadels,Wetland
10,the past prairie,Grassland
11,the hardy oceans,Ocean
12,the cunning barbs,Mountains
13,the dreamy mire,Wetland
14,the saffron hills,Hills
15,the feral steppes,Grassland
16,the swamps of praise,Wetland
17,the cheerful dunes,Desert
18,the hill of cradling,Hills
19,the wayward murk,Wetland
20,the jungle of crying,Forest
21,the hill of utterances,Hills
22,the velvety hills,Hills
23,the jungle of ropes,Forest
24,the dimpled jungle,Forest
25,the desert of citadels,Desert
26,the sour tower of grooving,Mountains
27,the points of ambiguity,Mountains
28,the dune of wilts,Desert
29,the mean tooth,Mountains
30,the desert of straps,Desert
31,the destined jungle,Forest
32,the furious jungles,Forest
33,the strapping jungle,Forest
34,the perplexing hill,Hills
35,the rosy steppes,Grassland
36,the inky hills,Hills
37,the barb of anguishing,Mountains
38,the sweet shattered jungle,Forest
39,the jungle of fields,Forest
40,the dunes of complexity,Desert
41,the heavy hill,Hills
42,the inky forests,Forest
43,the lacy hills,Hills
44,the crazy hills,Hills
45,the indigo hills,Hills
46,the reticent jungles,Forest
47,the clear hills,Hills
48,the forests of leading,Forest
49,the forest of balding,Forest
50,the jungle of lungs,Forest
51,the hills of combat,Hills
52,the hills of decency,Hills
53,the forests of mastery,Forest
54,the soaked hills,Hills
55,the forest of roofs,Forest
56,the virginal hills,Hills
57,the courageous forest,Forest
58,the cerulean dune,Desert
59,the teal lake,Lake
60,the mire of rhymes,Wetland
61,the friendly teeth,Mountains
62,the hale forests,Forest
63,the humorous hill,Hills
64,the forests of safety,Forest
65,the sculpted forest,Forest
66,the submerged ray-jungles,Forest
67,the aquamarine prairie,Grassland
68,the forest of dens,Forest
69,the shaken forests,Forest
70,the steppe of bars,Grassland
71,the equivalent forests,Forest
72,the jungle of tongues,Forest
73,the sunken jungles,Forest
74,the dune of jades,Desert
75,the murk of trumpets,Wetland
76,the wall of memory,Mountains
77,the fuchsia prairies,Grassland
78,the horn of contesting,Mountains
79,the moral point,Mountains
80,the lake of meditating,Lake
81,the finger of earth,Mountains
82,the jungle of hoods,Forest
83,the jungles of stabbing,Forest
84,the hill of disembowelers,Hills
85,the livid jungle,Forest
86,the somber hills,Hills
87,the greater hill,Hills
88,the hills of ensorceling,Hills
89,the crazy jungle,Forest
90,the null dunes,Desert
91,the amazing gulf,Ocean
92,the full hill,Hills
93,the desert of living,Desert
94,the ashen forest,Forest
95,the past dune,Desert
96,the late steppes,Grassland
97,the faithful water,Lake
98,the spikes of nourishment,Mountains
99,the mountain of rites,Mountains
100,the risky fields,Grassland
101,the elevated swamps,Wetland
102,the lake of catching,Lake
103,the cloudy dunes,Desert
104,the hill of stances,Hills
105,the desert of soothing,Desert
106,the steppe of lobsters,Grassland
107,the violent mire,Wetland
108,the persuasive field,Grassland
109,the cerulean jungles,Forest
110,the pointy hill,Hills
111,the fields of controlling,Grassland
112,the dunes of gleaming,Desert
113,the distracting forest,Forest
114,the common steppe,Grassland
115,the hill of hailing,Hills
116,the fortuitous plains,Grassland
117,the primitive hills,Hills
118,the dunes of extrication,Desert
119,the prairie of innocence,Grassland
120,the pink swamps,Wetland
121,the crewed murk,Wetland
122,the mire of sisters,Wetland
123,the worshipful forest,Forest
124,the deteriorated dune,Desert
125,the weak field,Grassland
126,the murk of brothers,Wetland
127,the crazed jungle,Forest
128,the distant murk,Wetland
129,the early waters,Lake
130,the fields of erasing,Grassland
131,the prairie of winnowers,Grassland
132,the lakes of squeezing,Lake
133,the wilted field,Grassland
134,the vigorous plain,Grassland
135,the treasure-swamp of confusing,Wetland
136,the cunning plains,Grassland
137,the jungle of echoes,Forest
138,the plains of beauty,Grassland
139,the shady swamp,Wetland
140,the plain of climaxes,Grassland
141,the fortunate frost,Tundra
142,the whiskered steppe,Grassland
143,the combined mire,Wetland
144,the prairie of length,Grassland
145,the tundras of dying,Tundra
146,the rhythmic plains,Grassland
147,the jungle of fire,Forest
148,the frilly frost,Tundra
149,the plain of enjoying,Grassland
150,the water of conjunctions,Lake
151,the alchemical tundra,Tundra
152,the mire of grasping,Wetland
153,the jungles of action,Forest
154,the slow blizzard,Tundra
155,the murk of nails,Wetland
156,the amazing plains,Grassland
157,the deviant forest,Forest
158,the primitive tundras,Tundra
159,the tundra of counseling,Tundra
160,the tired blizzard,Tundra
161,the tundra of allies,Tundra
162,the murk of funerals,Wetland
163,the field of nourishing,Grassland
164,the forest of assembling,Forest
